Gastrocnemius Skeletal Muscle,musculature
Glioma-005,brain
H1 human embryonic stem cells,embryo
H9-derived neural progenitors,brain
HCT116 (Colorectal carcinoma cell line),colon
HF patient,other
HSPC,bone marrow
HY - HYa1,brain
HY - HYa1 (specific brain region),brain
HY - HYm2,brain
HY - HYml,brain
HY - HYml (specific brain region),brain
HY - HYmm (specific brain region),brain
HY - HYpl (specific brain region),brain
HY - HYpm (specific brain region),brain
HY - MEZ-PVZ-PVR,brain
HY LZ,brain
HY LZ (specific brain region),brain
Hematopoietic Stem and Progenitor Cells (HSPC),bone marrow
Hematopoietic Stem and Progenitor Cells (HSPCs),bone marrow
HepaRG cells,liver
HepaRG cells (derived from liver),liver
Hepatocellular Carcinoma,liver
High grade ovarian serous adenocarcinoma cells,ovary
Human Umbilical Vein Endothelial Cells (HUVEC),vasculature
Human neural progenitor cells (ReNcell VM),brain
IMR90 (lung fibroblast cell line),lung
Inguinal White adipose tissue,adipose tissue
Jurkat T Lymphocytes,immune system
Jurkat cells,immune system
K562 (lymphoblast cells from CML),blood
K562 (lymphoblast cells from Chronic Myeloid Leukemia),blood
K562 cell line,blood
K562 cells (erythroleukemia cell line),blood
KPC organoid,pancreas
LLC tumor,lung
LLC1 Primary Tumor,lung
"LesionWM, Brain",brain
Liver P,liver
Lung Draining Lymph Node,lymph node
MB - PAG-RAmb (Adult Brain),brain
MB - PAG-RAmb (Adult brain),brain
MB - PAG-RAmb (Mouse Brain),brain
MB - VTA-SN,brain
MB-PONS - DR-PPN-SOC-V (specific brain region),brain
MC38 tumors,colon
MC38GP Tumor,colon
MCF7,breast
MCF7 cell line,breast
MDA-MB-231-cortical organoid (GCO),cortex
MDCK cells,kidney
MDCK-SIAT1 and A549 cells,other
MLN (Mesenteric Lymph Node),lymph node
MMTV-PyMT tumor,breast
MO-FRP,other
MOp,cortex
MOs-FRP,cortex
MY - AP-DCO-VCO-DCN-ECU-NTS,musculature
MY - CN-DCN-ECU-NTS-SPVC-SPVI-SPVO,musculature
MY - MYsat-MYmot ant,musculature
tissue,group
a185_esophagus1,esophagus
a188_esophagus1,esophagus
a189_esophagus1,esophagus
abdominal aorta,vasculature
abdominal dialysis solution,other
accumbens,brain
adipose differentiating cells,adipose tissue
adipose tissue,adipose tissue
adjacent mucosa,mucosa
adjacent noncancerous pancreatic tissue,pancreas
"adjacent nonmalignant tissues,thyroid carcinoma",endocrine gland
adjacent normal lung,lung
adjacent tumor,other
adrenal gland,adrenal gland
adult brain - MB - PAG-RAmb,brain
adult brain - MB - PRT,brain
adult brain - MY - MYsat-MYmot ant,brain
adult brain,brain
adult human breast,breast
adult kidney,kidney
adult regenerating digit tip,other
adult stem cell,other
airway cells,respiratory system
allograft tumor,other
alveolar epithelial cells,lung
anaplastic thyroid cancer,endocrine gland
angioblasts and endothelial cells,vasculature
ankle,skeletal system
annulus fibrosus,skeletal system
anogenital lesions,other
anterior cingulate cortex,cortex
anterior foregut endoderm,embryo
anterior lobe of the prostate,prostate gland
anterior palate,head
antrum,stomach
aorta,vasculature
aortic root and ascending aorta,vasculature
"aortic root, aortic arch, BCA, carotids",vasculature
"aortic root, aortic arch, brachiocephalic artery, carotid arteries",vasculature
aortic tissue,vasculature
appendix,large intestine
aqueous humor immune cells,eye
articular cartilage of talus,skeletal system
ascending aorta,vasculature
ascending aortic wall tissue,vasculature
ascending aortic wall,vasculature
ascending colon,colon
ascites cells from ovarian cancer patients,other
ascites cells,other
astrocyte and endothelial cells,brain
atherosclerosis plaques,vasculature
atherosclerotic plaque,vasculature
atrioventricular canal (AVC),heart
atrioventricular canal,heart
auditory,sensory system
basilic vein,vasculature
bile duct,liver
bladder tissue,urinary bladder
bladder tumor,urinary bladder
bladder,urinary bladder
blastocyst,embryo
blastocyte,embryo
blood (CD4+ T cells),blood
blood (PBMC),blood
blood (PBMCs),blood
blood (Peripheral Blood Mononuclear Cells - PBMCs),blood
"blood (Peripheral Blood Mononuclear Cells, PBMCs)",blood
blood (peripheral blood mononuclear cells),blood
blood (Primary CD4+ T cells),blood
blood (primary human CD4+ T cells),blood
blood and liver,blood
blood and tumor,blood
blood monocyte,blood
blood monocytes,blood
"blood, CD22+ B-lymphocyte",blood
"blood, CD8+ T-lymphocyte",blood
"blood, memory B cell",blood
"blood, PBMC",blood
"blood, specifically CD4 T cells",blood
"blood, spleen, liver, lung, heart",blood
"blood, synovial fluid, synovial tissue, skin",blood
"blood, synovial fluid, synovial tissue",blood
"blood, T cell",blood
blood,blood
bone (osteosarcoma),skeletal system
bone and bone marrow,skeletal system
bone marrow (femur),bone marrow
bone marrow 14d post treatment (M18),bone marrow
bone marrow 180d post treatment (M3),bone marrow
bone marrow 180d post treatment (M81),bone marrow
bone marrow 180d post treatment (T3),bone marrow
bone marrow 180d post treatment (T56),bone marrow
bone marrow 270d post treatment (M58),bone marrow
bone marrow 30d post treatment (M38),bone marrow
bone marrow 30d post treatment (M71),bone marrow
bone marrow 30d post treatment (T24),bone marrow
bone marrow 30d post treatment (T5),bone marrow
bone marrow 30d post treatment (T6),bone marrow
bone marrow 30d post treatment,bone marrow
bone marrow 90d post treatment (T20),bone marrow
bone marrow 90d post treatment (T58),bone marrow
bone marrow 90d post treatment (T61),bone marrow
bone marrow and peripheral blood,bone marrow
bone marrow and spleen,bone marrow
bone marrow and splenic B cells,bone marrow
bone marrow aspirate,bone marrow
bone marrow baseline (T14),bone marrow
bone marrow baseline (T18),bone marrow
bone marrow biopsy,bone marrow
bone marrow CD34-KSL cells,bone marrow
bone marrow cells,bone marrow
bone marrow derived macrophage,bone marrow
bone marrow from AML PDXs,bone marrow
bone marrow from cord blood PDXs,bone marrow
bone marrow mononuclear cell,bone marrow
"bone marrow, spleen",bone marrow
"bone marrow, splenic B cells",bone marrow
bone marrow,bone marrow
bone scaffolds,skeletal system
bone,skeletal system
brachial artery,vasculature
brachial lymph node,lymph node
brain - cortex,brain
brain - intermediate cortex,brain
brain - prefrontal cortex,brain
brain - STR - STRv,brain
brain - TH,brain
brain (barrel cortex),brain
brain (cerebellum and olfactory bulb-removed),brain
brain (cortex),brain
brain (forebrain),brain
brain (frontal cortex),brain
brain (GBM tumour),brain
brain (hippocampus),brain
brain (including cortex and corpus callosum),brain
brain (white matter from corpus callosum),brain
brain (white matter),brain
brain cells,brain
brain cortex,brain
brain frontal cortex,brain
brain immune cells,brain
brain meninges and associated vasculature,brain
brain metastases,brain
brain microenvironment enriched in astrocytes,brain
brain microvessels,brain
brain organoid,brain
brain organoids,brain
brain parenchyma,brain
brain regions,brain
brain section (ventral tegmental area),brain
brain stem,brain
brain tissue - striatum,brain
brain tumor,brain
brain white matter (contralateral to stroke),brain
brain white matter (ipsilateral to stroke),brain
brain white matter,brain
"brain, cerebral cortex",brain
"brain, corpus callosum",brain
"brain, frontal lobe",brain
"brain, grey matter",brain
"brain, neocortex",brain
"brain, specifically from white matter of the corpus callosum",brain
"brain, specifically white matter",brain
"brain, substantia nigra pars compacta",brain
"brain, ventricular-subventricular zone",brain
"brain, white matter",brain
brain: hippocampus,brain
brain,brain
breast cancer adjacent tissue,breast
breast cancer cell line,breast
breast cancer cells,breast
breast cancer tumor,breast
"breast cancer, adjacent nonmalignant tissues",breast
breast cancer,breast
breast tissue (epithelial enriched),breast
breast tissue,breast
breast tumor tissue,breast
breast tumor,breast
"breast, epithelial enriched - LASP-sorted",breast
"breast, epithelial enriched - unsorted",breast
breast,breast
bronchial brushing,respiratory system
bronchial cells,respiratory system
bronchial epithelial cells,respiratory system
bronchial epithelium,respiratory system
bronchoalveolar air,respiratory system
bronchoalveolar lavage fluid (BALF) cells,respiratory system
bronchoalveolar lavage fluid,respiratory system
bronchoalveolar lavage,respiratory system
bronchoalveolar,respiratory system
brown adipose tissue,adipose tissue
buccal mucosa,mucosa
bulk lung,lung
caecum,large intestine
calvarial bone defect areas,skeletal system
calvarial bone,skeletal system
calvarial sutures,skeletal system
cancer tumor tissues,other
caput epididymidis,reproductive system
carcinoma,other
cardiac allograft,heart
cardiac cells,heart
cardiac immune cells,heart
cardiac myxoma,heart
cardiac progenitor cells,heart
cardiac tissue,heart
"cardiac, endothelial, mesenchymal, and hematopoietic tissue from organoids",heart
"cardiac, pulmonary, splenic, renal, hepatic, muscular, bone",other
cardiac,heart
cardiomyogenic differentiation from CRISPRi TERT hiPSCs,heart
carotid and aortic artery,vasculature
carotid artery,vasculature
carotid plaque,vasculature
cartilage,skeletal system
caudal forelimb area of primary motor cortex,brain
caudate nucleus,brain
caudate,brain
celiac and superior mesenteric ganglia,peripheral nervous system
cell culture in vitro,other
cell cultures,other
"cell line (A375, melanoma)",skin of body
cell line xenograft,other
cell line,other
cells,other
central nervous system-draining lymph nodes,lymph node
central nervous system,central nervous system
cerebellar cortex,brain
cerebellar organoid,brain
cerebellar organoids,brain
cerebellum - hemispheres,brain
cerebellum - vermis,brain
cerebellum and olfactory bulb-removed brains,brain
cerebellum,brain
cerebral cortex,cortex
cerebral organoid,brain
cerebral organoids,brain
cerebrospinal fluid (CSF) cells,central nervous system
cerebrospinal fluid (CSF),central nervous system
cerebrospinal fluid and blood,blood
cerebrospinal fluid cells,central nervous system
cerebrospinal fluid,central nervous system
cervical cancer tissue,reproductive system
cervical lymph node,lymph node
cervix,reproductive system
chimeras,other
chorionic plate,placenta
choroid plexus and ventricular wall,brain
choroid,eye
chronic foot ulcer,skin of body
cingulate,brain
cochlea,sensory system
cochlear tissue,sensory system
coculture of astrocyte cells and endothelial cells,other
colon (normal tissue adjacent to neoplasm),colon
colon (tumor and adjacent non-malignant tissue),colon
colon assembloids,colon
colon lamina propria,lamina propria
colon organoids,colon
colon tumor,colon
colon tumors and adjacent normal colonic mucosa,colon
colon,colon
colonic fibroblast,colon
colonic mucosa,mucosa
colonic muscularis propria,colon
colonic organoids,colon
colonic tissue,colon
colonic tissues,colon
colonic tumor,colon
colorectal cancer PDO,colon
colorectal cancer,colon
colorectal carcinoma cell (HCT116 cell line),colon
colorectal carcinoma cell,colon
colorectal carcinoma,colon
contralateral brain tissue,brain
control lymph node,lymph node
cord blood mononuclear cells,blood
cord blood,blood
cornea,eye
corneal epithelial cells,eye
coronary artery,vasculature
coronary plaque,vasculature
corpus callosum white matter,brain
corpus callosum,brain
corpus,other
cortex & hippocampus (3mm piece around the injury),brain
cortex & hippocampus,brain
cortex and hippocampus,brain
"cortex, hippocampus",brain
cortex,cortex
cortical organoid,brain
"cortical organoids, diencephalic organoids, hdSpO, hSeO",brain
cortical organoids,brain
cortical tissues,brain
cranial bone,skeletal system
cranial motor neurons (cMNs) at embryonic stages e10.5 and e11.5,brain
cranial motor neurons at embryonic stages e10.5 and e11.5,brain
cranial motor neurons from embryonic mouse tissue,brain
cranial motor neurons,brain
cranial region of mouse embryo,embryo
cranial region,head
decidua,uterus
decidual and placental tissue,placenta
decidual tissue,uterus
dedifferentiated liposarcoma,adipose tissue
deep cerebellar nuclei,brain
definitive endoderm,embryo
degenerative ligament,skeletal system
delta cell-containing islet organoids,pancreas
demineralised bone scaffold,skeletal system
dental pulp stem cells,other
dentate gyrus and subventricular zone of the brain,brain
dentate gyrus,brain
derived from human embryonic stem cells (hESC),embryo
derived from human induced pluripotent stem cells (iPSCs),other
derived from WA09 embryonic stem cells (ESC),embryo
dermal fibroblasts and pluripotent stem cells,skin of body
dermal fibroblasts,skin of body
dermis,skin of body
descending colon,colon
developing cranial motor neurons,brain
diaphragm,musculature
differentiated human embryonic stem cells,embryo
diffuse midline glioma,brain
diffuse-type adenocarcinoma,stomach
digested tumor,other
dissociated human parathyroid,endocrine gland
dissociated whole lung,lung
dissociated whole tumor,other
distal 2/3 of ileum,small intestine
distal colon myenteric plexus,colon
distal colon,colon
dorsal aorta,vasculature
dorsal dermis,skin of body
dorsal forebrain organoids,brain
dorsal forebrain,brain
dorsal hippocampus,brain
dorsal lobe of the prostate,prostate gland
dorsal midbrain,brain
dorsal root ganglia,peripheral nervous system
dorsal skin biopsies,skin of body
"dorsal skin, healthy",skin of body
"dorsal skin, POD 4 wounded",skin of body
dorsal skin,skin of body
dorsal striatum,brain
dorsal telencephalon,brain
dorsal tissues,other
"dorsal upper back, developmental stage: E14.5",skin of body
dorsal upper back,skin of body
dorsolateral prefrontal cortex,brain
dorsomedial hypothalamus,brain
draining (inguinal) lymph node,lymph node
draining lymph node,lymph node
draining lymph nodes,lymph node
duodenal biopsy,small intestine
duodenum,small intestine
dura mater extrasinusoidal,central nervous system
dura mater sinus,central nervous system
dura,central nervous system
ear skin,skin of body
early blastoid,embryo
elbow joint,skeletal system
elongated neural tube organoid cultured in Matrigel drop for 10 days,central nervous system
elongated neural tube organoid cultured in Matrigel drop for 6 days,central nervous system
elongated neural tube organoid,central nervous system
embryo (E8.5),embryo
embryo and endometrial scaffold,embryo
"embryo, cranial region",embryo
embryo,embryo
embryoid bodies,embryo
embryoid bodies/myeloid-cell-forming complexes,embryo
embryonic AGM cells,embryo
embryonic and extraembryonic stem cells,embryo
embryonic brain,brain
embryonic foregut and midgut regions,digestive system
embryonic hindlimb,hindlimb
embryonic limb bud,embryo
embryonic murine prosomere 2 (p2),brain
embryonic pancreas,pancreas
"embryonic stem cells, NIH3T3 cells",embryo
embryonic stem cells,embryo
embryonic,embryo
endometrial epithelial organoids,uterus
endometrial tumor tissue,uterus
endometrium,uterus
endothelial cells,vasculature
endothelial,vasculature
engineered T cells,immune system
enriched RGC mouse retina,eye
enriched T cells,immune system
entorhinal cortex,cortex
epidermis,skin of body
epididymal adipose,adipose tissue
epididymal fat (stromal vascular cells),adipose tissue
epididymal fat,adipose tissue
epididymal white adipose tissue,adipose tissue
"epididymis, kidney, liver, lung, stomach",other
"epithelial cells (End1/E6E7), fibroblasts (KCO2)",other
epithelial tissue,other
erythroid cells,blood
erythroid progenitor,blood
esophageal carcinoma,esophagus
esophageal epithelium organoids,esophagus
esophageal/gastroesophageal junction tumor,esophagogastric junction
esophagitis,esophagus
esophagus,esophagus
exfoliated deciduous teeth,other
extraembryonic endoderm stem cell,embryo
extraembryonic mesoderm-like cells,embryo
extrahepatic bile duct,digestive system
eye (cornea),eye
eye ball,eye
eye organoid,eye
eye,eye
"eyecups containing retina, lens, and blood",eye
female reproductive tract,reproductive system
femoral and tibial growth plate cartilage,skeletal system
femur and tibia,skeletal system
fetal eye,eye
fetal liver and fetal bone marrow,other
"fetal liver, fetal bone marrow",other
fetal liver,liver
fetal lung organoids,lung
fetal lung tissue,lung
fetal lung,lung
fetal ovarian somatic cells,ovary
fetal sinoatrial node,heart
fibrous dysplasia bone tissue,skeletal system
fine-needle aspirates,other
first-trimester decidua,uterus
flank tumor section,other
floor plate of midbrain,brain
foetal liver and foetal bone marrow,liver
"foetal liver, foetal bone marrow",liver
foetal liver,liver
follicle,ovary
foot ulcer,skin of body
forebrain,brain
forelimb buds,forelimb
fracture callus tissue,skeletal system
frontal cortex (BA9),brain
frontal cortex (brain),brain
frontal cortex,brain
frontal white matter,brain
frozen heart,heart
gastric cancer liver metastasis,liver
gastric corpus epithelium,stomach
gastric mucosa,stomach
gastric muscle,stomach
gastric tissue,stomach
gastric,stomach
gastrocnemius skeletal muscle,musculature
gastrointestinal tract epithelium,digestive system
gastruloid,embryo
gastruloids derived from mouse embryonic stem cells,embryo
gastruloids,embryo
"gd T cells from spleen, lung, lymph nodes, jejunum, mesenteric lymph nodes",immune system
gd T cells,immune system
genitalia,reproductive system
gingival,mucosa
glioblastoma-cortical organoid (GCO),brain
glioblastoma-cortical organoid,brain
glioblastoma,brain
glioma,brain
gliomasphere,brain
gonadal adipose tissue,adipose tissue
gonadal,reproductive system
great auricular nerve,peripheral nervous system
gut,digestive system
heart (left ventricle),heart
heart (right ventricle),heart
heart tissue (ventricles),heart
heart valve,heart
heart ventricle,heart
heart ventricles,heart
"heart, left ventricle",heart
"heart, right ventricle",heart
"heart, specifically right ventricle",heart
"heart, specifically the left ventricle",heart
heart,heart
hematopoietic cells from IPSC,blood
hematopoietic cells from iPSCs,blood
hematopoietic cells,blood
hematopoietic stem and progenitor cells,blood
hematopoietic system,blood
hematopoietic,blood
hemibrain (olfactory bulb removed),brain
"hemibrain, olfactory bulb removed",brain
hepatocellular carcinoma,liver
hepatocyte (derived from HepaRG cells),liver
hESC-derived distal lung organoid,lung
hESC-derived neuromesodermal progenitors,embryo
hESC-derived Oligodendrocyte Progenitor Cells (OPCs),central nervous system
hESC-derived skin organoid,skin of body
hESC-derived spinal neuronal cultures,spinal cord
hESC-derived trunk neural crest derivatives,peripheral nervous system
hESC,embryo
hESCs (human embryonic stem cells),embryo
heterogeneous differentiating culture,other
high grade brain tumor,brain
high grade serous ovarian cancer cell,ovary
"high grade serous ovarian cancer, patient derived xenograft",ovary
hindbrain,brain
hindlimb buds,hindlimb
hindlimb,hindlimb
hindpaw,hindlimb
hippocampal and cortical regions of brain,brain
hippocampal and cortical regions of the brain,brain
hippocampal organoid,brain
hippocampus,brain
hiPSC 2D gastruloid,embryo
hiPSC-derived GABAergic neurons,central nervous system
hiPSC-derived neuron,central nervous system
hiPSC-derived skin organoid,skin of body
hiPSC,other
"hNSC-derived astrocytes/neurons, hiPSC-derived microglia",central nervous system
hNSC-derived astrocytes/neurons; hiPSC-derived microglia,central nervous system
hPS-derived medial pallium organoids,brain
hPSC-derived cardiac cells,heart
hPSC-derived colonic organoids,colon
human airway organoid,respiratory system
human RA gastruloid,embryo
"human umbilical cord endothelial cells, normal human lung fibroblast",vasculature
left atrium,heart
left hemisphere,brain
left ventricle,heart
left-sided colon,colon
leptomeninges,central nervous system
limb muscle (below knee),musculature
liver (parenchymal and non-parenchymal fractions),liver
liver biopsy,liver
liver bud organoid,liver
liver containing metastases of CRC origin,liver
liver explant,liver
liver macrophages,liver
liver metastases of CRC origin,liver
liver metastasis from prostate cancer,liver
liver metastatic tumor,liver
"liver normal, colorectal cancer patient",liver
liver tumor,liver
"liver, bone marrow",liver
"liver, gonadal adipose tissue, pancreas",liver
"liver, heart",liver
"liver, kidney, muscle",liver
"liver, lung, small intestine, lymph nodes, spleen",liver
liver; bone marrow,liver
liver,liver
"long bone (femurs, tibiae, and humeri)",skeletal system
"long bones (femurs, tibiae, humerus)",skeletal system
"long bones (hip, femur, tibia, fibula, humerus, radius, and ulnar bones)",skeletal system
long bones,skeletal system
longbone periosteum,skeletal system
low grade brain tumor,brain
lumbar disc 3,skeletal system
lung (CD11b+ cells),lung
lung adenocarcinoma cell,lung
lung adenocarcinoma,lung
lung adjacent normal,lung
lung cancer cell line,lung
lung cells,lung
lung draining lymph node,lymph node
lung endothelial cells,lung
lung immune cells,lung
"lung lymph node, mesenteric lymph node, lung",lymph node
lung neoplasms,lung
lung organoid co-cultured with macrophage,lung
lung organoids,lung
lung primary cells,lung
lung tissue (bronchoalveolar lavage),lung
lung tissue (isolated from bronchoalveolar lavage),lung
lung tissue,lung
lung tumor central margin,lung
lung tumor subpleural margin,lung
lung tumor,lung
lung tumors,lung
"lung, brain, pleural fluid",lung
"lung, lower lobe",lung
lung,lung
lungs,lung
lymph node lymphocytes,lymph node
lymph node metastasis,lymph node
lymph node,lymph node
lymph nodes,lymph node
lymphocyte,immune system
lymphoid tissue,immune system
macula lutea,eye
mammary epithelial cells,breast
mammary fat pad,breast
mammary fat-pad tumor,breast
mammary gland,breast
mammary pad,breast
mammary tissue,breast
mammary tumor,breast
mammary_pad,breast
mammary,breast
mammillary body,brain
marrow,bone marrow
maxillary gingival tissue,mucosa
medial frontal gyrus,cortex
medial ganglionic eminence (MGE),brain
medial prefrontal cortex,cortex
mediastinal lymph node,lymph node
medium/small size pulmonary artery,vasculature
medullary brainstem,brain
megakaryoblast cells (MEG01),blood
melanoma cell,skin of body
melanoma subcutaneous tumor,skin of body
melanoma tumor,skin of body
melanoma,skin of body
"meninges, dura mater",central nervous system
"meninges, leptomeninges",central nervous system
meninges,central nervous system
Merkel cell carcinoma tumor digest,skin of body
Merkel cell carcinoma,skin of body
mESC and gastruloids,embryo
mesenchymal cells co-cultured with KPY organoids,other
mesenchymal cells co-cultured with Y organoids,other
mesenchymal cells,other
mesenchymal co-culture,other
mesenchymal stem cells,other
mesenchyme embryonic hind limb bud cells,hindlimb
mesendoderm derivatives,embryo
mesenteric lymph node,lymph node
mesenteric lymph nodes,lymph node
Midbrain - Ventral Tegmental Area - Substantia Nigra,brain
Mixed sample (Spleen/Lymphnode),immune system
Motor Cortex (MOp),brain
Motor Cortex,brain
mPRAT Adipose,adipose tissue
MY - MYsat-MYmot post,musculature
MY - MYsat-Mymot-vent ant,musculature
MY - MYsat-MYmot-vent post,musculature
MY - SPVC-SPVI-SPVO (specific brain regions),musculature
MY - SPVC-SPVI-SPVO,musculature
MY - VNC-PHY-DMX-XII,musculature
NK cell,immune system
NKTs (Natural Killer T cells),immune system
NKTs,immune system
NRAS-mutated melanoma PDX,skin of body
NSC differentiation cell culture,brain
OCCC tumor,ovary
OCI-Ly18 subcutaneous tumor (NSG),lymph node
OLF - AON-TT-DP-PIR-COA-NLOT-PAA-TR (specific brain regions),brain
OLF - AON-TT-DP-PIR-COA-NLOT-PAA-TR,brain
OLF - COA-PAA-NLOT-TR,brain
OLF - MOB-AOB,brain
ONS-76 tumour-spheroid,brain
ONS-76-cerebellar organoid coculture,brain
OSCC-GB primary tumor tissue,mucosa
OVCA420 cell line,ovary
P14 CD8 T cells,immune system
P5 Retinal,eye
P6 Terminal ileum and ascending colon biopsies,digestive system
Pancreatic Islets of Langerhans,pancreas
PAR-POST-PRE-SUB-ProS (specific brain regions),brain
PAR-POST-PRE-SUB-ProS,brain
PBMC (Peripheral Blood Mononuclear Cells),blood
PBMC 14 days post treatment,blood
PBMC 14d post treatment (M21),blood
PBMC 14d post treatment (M9),blood
PBMC 14d post treatment (T7),blood
PBMC 14d post treatment (T80),blood
PBMC 180 days post treatment,blood
PBMC 180d post treatment (M28),blood
PBMC 180d post treatment,blood
PBMC 270 days post treatment,blood
PBMC 30 days post treatment,blood
PBMC 30d post treatment (M72),blood
PBMC 30d post treatment (M74),blood
PBMC 30d post treatment (M92),blood
PBMC 30d post treatment,blood
PBMC 360 days post treatment,blood
PBMC 360d post treatment (M56),blood
PBMC 90 days post treatment,blood
PBMC 90d post treatment (M34),blood
PBMC 90d post treatment (M65),blood
PBMC 90d post treatment (M90),blood
PBMC 90d post treatment (T78),blood
PBMC 90d post treatment (T84),blood
PBMC Baseline (M13),blood
PBMC Baseline (M15),blood
PBMC Baseline (M17),blood
PBMC Baseline (M2),blood
PBMC Baseline (M24),blood
PBMC Baseline (M86),blood
PBMC Baseline (T2),blood
PBMC Baseline (T22),blood
PBMC Baseline (T52),blood
PBMC Baseline (T54),blood
PBMC Baseline (T85),blood
PBMC from 2 donors,blood
PBMC from Healthy control (M49),blood
